episode,episode_title,published,track_number,track_title,artist,time,year,country,episode_link,audio_url
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",1,I’m Needin’ You,Fun Fun,05:48,1994,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",2,Street Groove,Clio & Kay,06:49,1990,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",3,Swiss Cows,Tam Harrow,05:28,2017,USA,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",4,Keep on Rolling,Tom Hooker,03:07,2021,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",5,Rockawillie,Sabrina Salerno,03:34,1994,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",6,Video Games,De Niro,07:00,1991,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",7,Face to Face,Albert One,05:45,2015,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",8,I Always Dream About You,Spagna,04:36,1993,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",9,Something,Savage,05:49,1993,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
33,Italo Disco After the 1980s - Part 2,"Sun, 28 Nov 2021 22:16:53 +0000",10,U.S.A.,Joe Yellow,05:16,1992,Italy,https://www.discoitalo.com/2021/11/28/italo-disco-after-the-1980s-part-2/,https://chrt.fm/track/84BG1G/obscuro-disco-podcast-files.s3.amazonaws.com/OD-1989-part2.mp3
